Date,Volume,Name
2020-06-04,29.68544,GOOG
2020-06-03,25.12372,GOOG
2020-06-02,25.56256,GOOG
2020-06-01,24.3428,GOOG
2020-05-29,36.76118,GOOG
2020-05-28,33.87952,GOOG
2020-05-27,33.72284,GOOG
2020-05-26,41.21286,GOOG
2020-05-22,26.18816,GOOG
2020-05-21,27.70388,GOOG
2020-05-20,33.1075,GOOG
2020-05-19,25.61298,GOOG
2020-05-18,36.47928,GOOG
2020-05-15,34.15494,GOOG
2020-05-14,32.06154,GOOG
2020-05-13,36.2517,GOOG
2020-05-12,27.812,GOOG
2020-05-11,28.24232,GOOG
2020-05-08,27.76136,GOOG
2020-05-07,27.99518,GOOG
2020-05-06,24.30846,GOOG
2020-05-05,33.03066,GOOG
2020-05-04,30.08034,GOOG
2020-05-01,41.45278,GOOG
2020-04-30,53.37812,GOOG
2020-04-29,75.87248,GOOG
2020-04-28,59.02618,GOOG
2020-04-27,32.01126,GOOG
2020-04-24,32.80788,GOOG
2020-04-23,31.32406,GOOG
2020-04-22,41.8628,GOOG
2020-04-21,43.06006,GOOG
2020-04-20,33.90976,GOOG
2020-04-17,38.98084,GOOG
2020-04-16,50.36198,GOOG
2020-04-15,33.43406,GOOG
2020-04-14,49.40706,GOOG
2020-04-13,34.79656,GOOG
2020-04-09,43.50842,GOOG
2020-04-08,39.5027,GOOG
2020-04-07,47.74658,GOOG
2020-04-06,53.29446,GOOG
2020-04-03,46.268,GOOG
2020-04-02,39.29762,GOOG
2020-04-01,46.88346,GOOG
2020-03-31,49.75966,GOOG
2020-03-30,51.48122,GOOG
2020-03-27,64.1699,GOOG
2020-03-26,71.4751,GOOG
2020-03-25,81.63056,GOOG
2020-03-24,66.889,GOOG
2020-03-23,80.88274,GOOG
2020-03-20,72.035,GOOG
2020-03-19,73.02212,GOOG
2020-03-18,84.6687,GOOG
2020-03-17,77.22978,GOOG
2020-03-16,85.0473,GOOG
2020-03-13,74.0025,GOOG
2020-03-12,84.53496,GOOG
2020-03-11,52.22458,GOOG
2020-03-10,52.22746,GOOG
2020-03-09,67.3073,GOOG
2020-03-06,53.21256,GOOG
2020-03-05,51.22576,GOOG
2020-03-04,38.2663,GOOG
2020-03-03,48.04652,GOOG
2020-03-02,48.62936,GOOG
2020-02-28,75.81236,GOOG
2020-02-27,59.566,GOOG
2020-02-26,44.08074,GOOG
2020-02-25,49.56556,GOOG
2020-02-24,57.34106,GOOG
2020-02-21,34.64546,GOOG
2020-02-20,21.93104,GOOG
2020-02-19,18.98536,GOOG
2020-02-18,22.4228,GOOG
2020-02-14,23.95672,GOOG
2020-02-13,18.5946,GOOG
2020-02-12,23.3513,GOOG
2020-02-11,26.89266,GOOG
2020-02-10,28.39752,GOOG
2020-02-07,23.4454,GOOG
2020-02-06,33.58768,GOOG
2020-02-05,39.72314,GOOG
2020-02-04,78.65908,GOOG
2020-02-03,61.10432,GOOG
2020-01-31,48.34428,GOOG
2020-01-30,26.78842,GOOG
2020-01-29,21.57334,GOOG
2020-01-28,31.54844,GOOG
2020-01-27,35.10402,GOOG
2020-01-24,35.69288,GOOG
2020-01-23,27.02708,GOOG
2020-01-22,32.21692,GOOG
2020-01-21,40.7356,GOOG
2020-01-17,47.9243,GOOG
2020-01-16,23.47376,GOOG
2020-01-15,25.6537,GOOG
2020-01-14,31.20906,GOOG
2020-01-13,33.06964,GOOG
2020-01-10,36.43132,GOOG
2020-01-09,30.05328,GOOG
2020-01-08,30.58354,GOOG
2020-01-07,30.23386,GOOG
2020-01-06,34.66298,GOOG
2020-01-03,23.74012,GOOG
2020-01-02,28.13462,GOOG
2020-12-31,99.11659,AAPL
2020-12-30,96.45212,AAPL
2020-12-29,121.0473,AAPL
2020-12-28,124.4862,AAPL
2020-12-24,54.93006,AAPL
2020-12-23,88.22369,AAPL
2020-12-22,169.3518,AAPL
2020-12-21,121.2516,AAPL
2020-12-18,192.5415,AAPL
2020-12-17,94.35981,AAPL
